task_id,swimlane,slug,story_path,issue,labels
52fe8d6a,stage0,fix-remaining-emitter-issues-affecting-regression-suite,docs/stories/fix-remaining-emitter-issues-affecting-regression-suite.story-1.md,,
fce514da,stage0,implement-type-inference-for-auto-declarations,docs/stories/implement-type-inference-for-auto-declarations.story-1.md,,
69345232,stage0,add-lifetime-analysis-for-cpp2-contract-semantics,docs/stories/add-lifetime-analysis-for-cpp2-contract-semantics.story-1.md,,
03b368a8,stage0,implement-capture-analysis-for-lambdas,docs/stories/implement-capture-analysis-for-lambdas.story-1.md,,
f536ee6c,ir,implement-real-sea-of-nodes-ir-replacing-mock-implementation,docs/stories/implement-real-sea-of-nodes-ir-replacing-mock-implementation.story-1.md,,
fd420549,ir,complete-band-based-sea-of-nodes-ir-implementation,docs/stories/complete-band-based-sea-of-nodes-ir-implementation.story-1.md,,
f6bd5b87,stage1,connect-stages-to-use-ir-for-inter-stage-communication,docs/stories/connect-stages-to-use-ir-for-inter-stage-communication.story-1.md,,
baded7bf,stage1,add-module-system-for-cpp2-imports,docs/stories/add-module-system-for-cpp2-imports.story-1.md,,
28debbb4,patterns,implement-n-way-lowering-patterns-for-ir-transformations,docs/stories/implement-n-way-lowering-patterns-for-ir-transformations.story-1.md,,
48ac9a05,optimization,implement-gcm-global-code-motion-optimization-pass,docs/stories/implement-gcm-global-code-motion-optimization-pass.story-1.md,,
db82dab3,optimization,implement-cse-common-subexpression-elimination-pass,docs/stories/implement-cse-common-subexpression-elimination-pass.story-1.md,,
869e0175,optimization,add-constant-folding-optimization,docs/stories/add-constant-folding-optimization.story-1.md,,
9313f624,optimization,add-dead-code-elimination-pass,docs/stories/add-dead-code-elimination-pass.story-1.md,,
22342464,mlir_bridge,add-direct-mlir-anchoring-for-ir-nodes,docs/stories/add-direct-mlir-anchoring-for-ir-nodes.story-1.md,,
29278f61,testing,add-comprehensive-unit-test-suite,docs/stories/add-comprehensive-unit-test-suite.story-1.md,,
56d41083,testing,add-triple-induction-validation-framework,docs/stories/add-triple-induction-validation-framework.story-1.md,,
60bf0b44,ci,implement-cicd-pipeline-with-automated-regression-testing,docs/stories/implement-cicd-pipeline-with-automated-regression-testing.story-1.md,,
c5a7cc2d,stage2,implement-stage2-anticheat-attestation-integration,docs/stories/implement-stage2-anticheat-attestation-integration.story-1.md,,
0c61f2a7,parser,implement-bnfc-grammar-based-parser,docs/stories/implement-bnfc-grammar-based-parser.story-1.md,,
edbbc26e,parser,add-error-recovery-in-parser-for-better-diagnostics,docs/stories/add-error-recovery-in-parser-for-better-diagnostics.story-1.md,,
d254ab03,backend,add-support-for-multiple-backend-targets,docs/stories/add-support-for-multiple-backend-targets.story-1.md,,
1241ee3e,build,implement-incremental-compilation-support,docs/stories/implement-incremental-compilation-support.story-1.md,,
d34e29d2,betanet,implement-betanet-content-addressable-module-resolution,docs/stories/implement-betanet-content-addressable-module-resolution.story-1.md,,
3b485168,betanet,add-htxhtxquic-transport-layer,docs/stories/add-htxhtxquic-transport-layer.story-1.md,,
f4738916,betanet,implement-mixnode-routing-for-module-distribution,docs/stories/implement-mixnode-routing-for-module-distribution.story-1.md,,
b39073e7,betanet,add-cashu-voucher-integration-for-bandwidth-payment,docs/stories/add-cashu-voucher-integration-for-bandwidth-payment.story-1.md,,
dacefa15,betanet,implement-multi-chain-finality-verification,docs/stories/implement-multi-chain-finality-verification.story-1.md,,
924cbab7,docs,add-documentation-generation-from-source-comments,docs/stories/add-documentation-generation-from-source-comments.story-1.md,,
60bf0b44,ci,refinement-build-failure,docs/stories/refinement-build-failure.story.md,,
