name,use_alternating,anchor_1,anchor_2,anchor_3,grammar_modes,evidence_type_1,evidence_type_2,evidence_type_3,evidence_type_4,cpp2_template,cpp_template,c_template
"function_declaration",true,": (",") =","",7,"identifier","parameters","body","","","",""
"main_function_void",true,"main : (",") =","",7,"parameters"","body"","","","","",""
"main_function_void_no_space",true,"main: (",") =","",7,"parameters"","body"","","","","",""
"function_void_declaration",true,": (",") =","",7,"identifier"","parameters"","body"","","","",""
"main_function_with_return",true,"main: (",") ->","=",7,"parameters","return_type","body","","","",""
"cpp2_nested_function_with_return",true,": (",") ->","=",0,"identifier","parameters","return_type","body","","",""
"cpp2_nested_function_void",true,": (",") =","",0,"identifier","parameters","body","","","",""
"cpp2_parameter",true,":","","",7,"identifier"","type"","","","","",""
"cpp2_typed_variable",true,":","=","",4,"identifier"","type_expression"","expression"","","","",""
"cpp2_variable",true,":=","","",4,"identifier"","expression"","","","","",""
"cpp2_type_alias",true,": type","=","",4,"identifier"","type_expression"","","","","",""
"cpp2_template_type_alias",true,"type","=","",4,"identifier_template"","type_expression"","","","","",""
"cpp2_namespace",false,"","","",4,"","","","","","",""
