name,use_alternating,anchor_1,anchor_2,anchor_3,grammar_modes,evidence_type_1,evidence_type_2,evidence_type_3,evidence_type_4,cpp2_template,cpp_template,c_template
"cpp2_parameter",true,,,,7,,,,,,"$1",
"cpp2_typed_variable",true,,,,7,,,,,,"$1 = $3;",
"cpp2_var_auto",true,,,,7,,,,,,"$1 = $2;",
"cpp2_function_with_return",true,,,,7,,,,,,"$1($2) { $4 }",
"cpp2_function_void",true,,,,7,,,,,,"$1($2) { $3 }",
"cpp2_main_function",true,,,,7,,,,,,"main() { $3 }",
"cpp2_function_definition",true,,,,7,,,,,,"$1",
"cpp2_template_function",true,,,,7,,,,,,"$4 $2($3) { $5 }",
"cpp2_function_trailing_return",true,,,,7,,,,,,"$1($2) $4 { $5 }",
"cpp2_function_with_qualifiers",true,,,,7,,,,,,"$1($2) $4 $5 $6 { $7 }",
"cpp2_function_declaration_vs_definition",true,,,,7,,,,,,"$1($2)$4$5",
"cpp2_parameter_detailed",true,,,,7,,,,,,"$1$3",
"cpp2_function_with_attributes",true,,,,7,,,,,,"$2($3) $5 { $6 }",
"cpp2_as_expression",true,,,,7,,,,,,,
"cpp2_move_expression",false,,,,7,,,,,,,
"cpp2_forward_expression",false,,,,7,,,,,,,
"cpp2_dotdot_expression",true,,,,7,,,,,,,
"cpp2_function_definition_with_body",true,,,,7,,,,,,"$1($2) { $3 }",
"cpp2_function_definition_with_return",true,,,,7,,,,,,"$1 { $3 }",
