test_file,transpile,compile,run,num_errors
mixed-allcpp1-hello.cpp2,FAILED,,,0
mixed-as-for-variant-20-types.cpp2,FAILED,,,0
mixed-bounds-check.cpp2,FAILED,,,0
mixed-bounds-safety-with-assert-2.cpp2,FAILED,,,0
mixed-bounds-safety-with-assert.cpp2,FAILED,,,0
mixed-bugfix-for-cpp2-comment-cpp1-sequence.cpp2,FAILED,,,0
mixed-bugfix-for-double-pound-else-error.cpp2,FAILED,,,0
mixed-bugfix-for-literal-as-nttp.cpp2,FAILED,,,0
mixed-bugfix-for-ufcs-non-local.cpp2,FAILED,,,0
mixed-captures-in-expressions-and-postconditions.cpp2,FAILED,,,0
mixed-default-arguments.cpp2,FAILED,,,0
mixed-fixed-type-aliases.cpp2,FAILED,,,0
mixed-float-literals.cpp2,FAILED,,,0
mixed-forwarding.cpp2,FAILED,,,0
mixed-function-expression-and-std-for-each.cpp2,FAILED,,,0
mixed-function-expression-and-std-ranges-for-each-with-capture.cpp2,FAILED,,,0
mixed-function-expression-and-std-ranges-for-each.cpp2,FAILED,,,0
mixed-function-expression-with-pointer-capture.cpp2,FAILED,,,0
mixed-function-expression-with-repeated-capture.cpp2,FAILED,,,0
mixed-hello.cpp2,FAILED,,,0
mixed-increment-decrement.cpp2,FAILED,,,0
mixed-initialization-safety-1-error.cpp2,FAILED,,,0
mixed-initialization-safety-2-error.cpp2,FAILED,,,0
mixed-initialization-safety-3-contract-violation.cpp2,FAILED,,,0
mixed-initialization-safety-3.cpp2,FAILED,,,0
mixed-inspect-templates.cpp2,FAILED,,,0
mixed-inspect-values-2.cpp2,FAILED,,,0
mixed-inspect-values.cpp2,FAILED,,,0
mixed-inspect-with-typeof-of-template-arg-list.cpp2,FAILED,,,0
mixed-intro-example-three-loops.cpp2,FAILED,,,0
mixed-intro-for-with-counter-include-last.cpp2,FAILED,,,0
mixed-is-as-value-with-variant.cpp2,FAILED,,,0
mixed-is-as-variant.cpp2,FAILED,,,0
mixed-lifetime-safety-and-null-contracts.cpp2,FAILED,,,0
mixed-lifetime-safety-pointer-init-1-error.cpp2,FAILED,,,0
mixed-lifetime-safety-pointer-init-2-error.cpp2,FAILED,,,0
mixed-lifetime-safety-pointer-init-3-error.cpp2,FAILED,,,0
mixed-lifetime-safety-pointer-init-4.cpp2,FAILED,,,0
mixed-multiple-return-values.cpp2,FAILED,,,0
mixed-out-destruction.cpp2,FAILED,,,0
mixed-parameter-passing-generic-out.cpp2,FAILED,,,0
mixed-parameter-passing-with-forward.cpp2,FAILED,,,0
mixed-parameter-passing.cpp2,FAILED,,,0
mixed-postexpression-with-capture.cpp2,FAILED,,,0
mixed-postfix-expression-custom-formatting.cpp2,FAILED,,,0
mixed-string-interpolation.cpp2,FAILED,,,0
mixed-test-parens.cpp2,FAILED,,,0
mixed-type-safety-1.cpp2,FAILED,,,0
mixed-ufcs-multiple-template-arguments.cpp2,FAILED,,,0
pure2-assert-expected-not-null.cpp2,FAILED,,,0
pure2-assert-optional-not-null.cpp2,FAILED,,,0
pure2-assert-shared-ptr-not-null.cpp2,FAILED,,,0
pure2-assert-unique-ptr-not-null.cpp2,FAILED,,,0
pure2-bounds-safety-pointer-arithmetic-error.cpp2,FAILED,,,0
pure2-bounds-safety-span.cpp2,FAILED,,,0
pure2-break-continue.cpp2,FAILED,,,0
pure2-bugfix-for-assert-capture-error.cpp2,FAILED,,,0
pure2-bugfix-for-assign-expression-list.cpp2,FAILED,,,0
pure2-bugfix-for-bad-capture-error.cpp2,FAILED,,,0
pure2-bugfix-for-bad-decltype-error.cpp2,FAILED,,,0
pure2-bugfix-for-bad-parameter-error.cpp2,FAILED,,,0
pure2-bugfix-for-bad-using-error.cpp2,FAILED,,,0
pure2-bugfix-for-declaration-equal-error.cpp2,FAILED,,,0
pure2-bugfix-for-discard-precedence.cpp2,FAILED,,,0
pure2-bugfix-for-functions-before-superclasses-error.cpp2,FAILED,,,0
pure2-bugfix-for-indexed-call.cpp2,FAILED,,,0
pure2-bugfix-for-invalid-alias-error.cpp2,FAILED,,,0
pure2-bugfix-for-late-comments.cpp2,FAILED,,,0
pure2-bugfix-for-max-munch.cpp2,FAILED,,,0
pure2-bugfix-for-memberwise-base-assignment.cpp2,FAILED,,,0
pure2-bugfix-for-naked-unsigned-char-error.cpp2,FAILED,,,0
pure2-bugfix-for-name-lookup-and-value-decoration.cpp2,FAILED,,,0
pure2-bugfix-for-namespace-error.cpp2,FAILED,,,0
pure2-bugfix-for-non-local-function-expression.cpp2,FAILED,,,0
pure2-bugfix-for-non-local-initialization.cpp2,FAILED,,,0
pure2-bugfix-for-optional-template-argument-list.cpp2,FAILED,,,0
pure2-bugfix-for-out-this-nonconstructor-error.cpp2,FAILED,,,0
pure2-bugfix-for-requires-clause-in-forward-declaration.cpp2,FAILED,,,0
pure2-bugfix-for-requires-clause-unbraced-function-initializer.cpp2,FAILED,,,0
pure2-bugfix-for-template-argument.cpp2,FAILED,,,0
pure2-bugfix-for-ufcs-arguments.cpp2,FAILED,,,0
pure2-bugfix-for-ufcs-name-lookup.cpp2,FAILED,,,0
pure2-bugfix-for-ufcs-noexcept.cpp2,FAILED,,,0
pure2-bugfix-for-ufcs-sfinae.cpp2,FAILED,,,0
pure2-bugfix-for-unbraced-function-expression.cpp2,FAILED,,,0
pure2-bugfix-for-variable-template.cpp2,FAILED,,,0
pure2-chained-comparisons.cpp2,FAILED,,,0
pure2-concept-definition.cpp2,FAILED,,,0
pure2-contracts.cpp2,FAILED,,,0
pure2-cpp1-multitoken-fundamental-types-error.cpp2,FAILED,,,0
pure2-cpp1-prefix-expression-error.cpp2,FAILED,,,0
pure2-deducing-pointers-error.cpp2,FAILED,,,0
pure2-deduction-1-error.cpp2,FAILED,,,0
pure2-deduction-2-error.cpp2,FAILED,,,0
pure2-default-arguments.cpp2,FAILED,,,0
pure2-defaulted-comparisons-and-final-types.cpp2,FAILED,,,0
pure2-enum.cpp2,FAILED,,,0
pure2-expected-is-as.cpp2,FAILED,,,0
pure2-for-loop-range-with-lambda.cpp2,FAILED,,,0
pure2-forward-return-diagnostics-error.cpp2,FAILED,,,0
pure2-forward-return.cpp2,FAILED,,,0
pure2-function-body-reflection.cpp2,FAILED,,,0
pure2-function-multiple-forward-arguments.cpp2,FAILED,,,0
pure2-function-single-expression-body-default-return.cpp2,FAILED,,,0
pure2-function-typeids.cpp2,FAILED,,,0
pure2-hashable.cpp2,FAILED,,,0
pure2-hello.cpp2,FAILED,,,0
pure2-initialization-loop-2-error.cpp2,FAILED,,,0
pure2-initialization-loop-error.cpp2,FAILED,,,0
pure2-initialization-safety-with-else-if.cpp2,FAILED,,,0
pure2-inspect-expression-in-generic-function-multiple-types.cpp2,FAILED,,,0
pure2-inspect-expression-with-as-in-generic-function.cpp2,FAILED,,,0
pure2-inspect-fallback-with-variant-any-optional.cpp2,FAILED,,,0
pure2-inspect-generic-void-empty-with-variant-any-optional.cpp2,FAILED,,,0
pure2-interpolation.cpp2,FAILED,,,0
pure2-intro-example-hello-2022.cpp2,FAILED,,,0
pure2-intro-example-three-loops.cpp2,FAILED,,,0
pure2-is-with-free-functions-predicate.cpp2,FAILED,,,0
pure2-is-with-polymorphic-types.cpp2,FAILED,,,0
pure2-is-with-unnamed-predicates.cpp2,FAILED,,,0
pure2-is-with-variable-and-value.cpp2,FAILED,,,0
pure2-last-use.cpp2,FAILED,,,0
pure2-lifetime-safety-pointer-init-1-error.cpp2,FAILED,,,0
pure2-lifetime-safety-reject-null-error.cpp2,FAILED,,,0
pure2-look-up-parameter-across-unnamed-function.cpp2,FAILED,,,0
pure2-main-args.cpp2,FAILED,,,0
pure2-more-wildcards.cpp2,FAILED,,,0
pure2-print.cpp2,FAILED,,,0
pure2-range-operators.cpp2,FAILED,,,0
pure2-raw-string-literal-and-interpolation.cpp2,FAILED,,,0
pure2-regex_01_char_matcher.cpp2,FAILED,,,0
pure2-regex_02_ranges.cpp2,FAILED,,,0
pure2-regex_03_wildcard.cpp2,FAILED,,,0
