# Trace for tools/trace_driver.cpp
anchors=81 boundaries=163 vector_iters=0 scalar_iters=0 processed_bytes=0
fragment start=0 end=318 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=319 end=326 grammar=C pattern=c_function confidence=0.65
fragment start=327 end=354 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=355 end=362 grammar=C pattern=c_function confidence=0.65
fragment start=363 end=377 grammar=C pattern=c_function confidence=0.65
fragment start=378 end=393 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=394 end=415 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=416 end=431 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=432 end=452 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=453 end=465 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=466 end=484 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=485 end=508 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=509 end=519 grammar=C pattern=c_function confidence=0.65
fragment start=520 end=537 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=538 end=555 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=556 end=569 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=570 end=590 grammar=C pattern=c_function confidence=0.65
fragment start=591 end=605 grammar=C pattern=c_function confidence=0.65
fragment start=606 end=630 grammar=C pattern=c_function confidence=0.65
fragment start=631 end=637 grammar=C pattern=c_function confidence=0.65
fragment start=638 end=664 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=665 end=684 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=686 end=705 grammar=C pattern=c_function confidence=0.65
fragment start=706 end=722 grammar=C pattern=c_function confidence=0.65
fragment start=723 end=744 grammar=C pattern=c_function confidence=0.85
fragment start=745 end=755 grammar=C pattern=c_function confidence=0.65
fragment start=756 end=766 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=767 end=795 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=796 end=806 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=807 end=829 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=830 end=842 grammar=C pattern=c_function confidence=0.65
fragment start=843 end=857 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=858 end=875 grammar=C pattern=c_function confidence=0.65
fragment start=876 end=897 grammar=C pattern=c_function confidence=0.65
fragment start=898 end=917 grammar=C pattern=c_function confidence=0.65
fragment start=918 end=919 grammar=C pattern=c_function confidence=0.65
fragment start=920 end=944 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=945 end=954 grammar=C pattern=c_function confidence=0.65
fragment start=955 end=978 grammar=C pattern=c_function confidence=0.65
fragment start=979 end=983 grammar=C pattern=c_function confidence=0.65
fragment start=984 end=1008 grammar=C pattern=c_function confidence=0.65
fragment start=1009 end=1023 grammar=C pattern=c_function confidence=0.65
fragment start=1024 end=1038 grammar=C pattern=c_function confidence=0.65
fragment start=1039 end=1055 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1056 end=1070 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1071 end=1088 grammar=C pattern=c_function confidence=0.65
fragment start=1089 end=1108 grammar=C pattern=c_function confidence=0.65
fragment start=1109 end=1133 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1134 end=1161 grammar=C pattern=c_function confidence=0.65
fragment start=1162 end=1178 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1179 end=1206 grammar=C pattern=c_function confidence=0.65
fragment start=1207 end=1267 grammar=C pattern=c_function confidence=0.65
fragment start=1268 end=1283 grammar=C pattern=c_function confidence=0.65
fragment start=1284 end=1313 grammar=C pattern=c_function confidence=0.65
fragment start=1314 end=1329 grammar=C pattern=c_function confidence=0.65
fragment start=1330 end=1352 grammar=C pattern=c_function confidence=0.65
fragment start=1353 end=1370 grammar=C pattern=c_function confidence=0.65
fragment start=1371 end=1405 grammar=C pattern=c_function confidence=0.65
fragment start=1406 end=1414 grammar=C pattern=c_function confidence=0.65
fragment start=1415 end=1438 grammar=C pattern=c_function confidence=0.65
fragment start=1439 end=1451 grammar=C pattern=c_function confidence=0.65
fragment start=1452 end=1467 grammar=C pattern=c_function confidence=0.65
fragment start=1468 end=1485 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1486 end=1526 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1527 end=1538 grammar=C pattern=c_function confidence=0.65
