# Trace for tools/trace_driver.cpp
anchors=56 boundaries=104 vector_iters=0 scalar_iters=0 processed_bytes=0
fragment start=0 end=280 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=281 end=288 grammar=C pattern=c_function confidence=0.65
fragment start=289 end=316 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=317 end=324 grammar=C pattern=c_function confidence=0.65
fragment start=325 end=354 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=355 end=362 grammar=C pattern=c_function confidence=0.65
fragment start=363 end=377 grammar=C pattern=c_function confidence=0.65
fragment start=378 end=395 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=396 end=409 grammar=C pattern=c_function confidence=0.65
fragment start=410 end=433 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=434 end=444 grammar=C pattern=c_function confidence=0.65
fragment start=445 end=457 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=458 end=473 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=474 end=490 grammar=C pattern=c_function confidence=0.65
fragment start=491 end=515 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=516 end=530 grammar=C pattern=c_function confidence=0.65
fragment start=531 end=555 grammar=C pattern=c_function confidence=0.65
fragment start=556 end=571 grammar=C pattern=c_function confidence=0.65
fragment start=572 end=589 grammar=C pattern=c_function confidence=0.65
fragment start=590 end=609 grammar=CPP2 pattern=cpp2_function confidence=0.85
fragment start=610 end=630 grammar=C pattern=c_function confidence=0.65
fragment start=631 end=636 grammar=C pattern=c_function confidence=0.65
fragment start=637 end=656 grammar=C pattern=c_function confidence=0.65
fragment start=657 end=669 grammar=C pattern=c_function confidence=0.85
fragment start=670 end=689 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=690 end=704 grammar=C pattern=c_function confidence=0.65
fragment start=705 end=720 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=721 end=754 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=755 end=776 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=777 end=800 grammar=C pattern=c_function confidence=0.65
fragment start=801 end=822 grammar=C pattern=c_function confidence=0.65
fragment start=823 end=842 grammar=C pattern=c_function confidence=0.65
fragment start=843 end=854 grammar=C pattern=c_function confidence=0.65
fragment start=855 end=869 grammar=C pattern=c_function confidence=0.65
fragment start=870 end=903 grammar=C pattern=c_function confidence=0.65
fragment start=904 end=923 grammar=C pattern=c_function confidence=0.65
fragment start=924 end=948 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=949 end=963 grammar=C pattern=c_function confidence=0.65
fragment start=964 end=980 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=981 end=989 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=990 end=1013 grammar=C pattern=c_function confidence=0.65
fragment start=1014 end=1019 grammar=C pattern=c_function confidence=0.65
fragment start=1020 end=1033 grammar=C pattern=c_function confidence=0.65
fragment start=1034 end=1058 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1059 end=1086 grammar=C pattern=c_function confidence=0.65
fragment start=1087 end=1103 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1104 end=1131 grammar=C pattern=c_function confidence=0.65
fragment start=1132 end=1138 grammar=C pattern=c_function confidence=0.65
fragment start=1139 end=1192 grammar=C pattern=c_function confidence=0.65
fragment start=1193 end=1208 grammar=C pattern=c_function confidence=0.65
fragment start=1209 end=1238 grammar=C pattern=c_function confidence=0.65
fragment start=1239 end=1253 grammar=C pattern=c_function confidence=0.65
fragment start=1254 end=1277 grammar=C pattern=c_function confidence=0.65
fragment start=1278 end=1295 grammar=C pattern=c_function confidence=0.65
fragment start=1296 end=1330 grammar=C pattern=c_function confidence=0.65
fragment start=1331 end=1339 grammar=C pattern=c_function confidence=0.65
fragment start=1340 end=1363 grammar=C pattern=c_function confidence=0.65
fragment start=1364 end=1376 grammar=C pattern=c_function confidence=0.65
fragment start=1377 end=1392 grammar=C pattern=c_function confidence=0.65
fragment start=1393 end=1410 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1411 end=1451 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1452 end=1463 grammar=C pattern=c_function confidence=0.65
fragment start=1464 end=1492 grammar=C pattern=c_function confidence=0.65
fragment start=1493 end=1505 grammar=C pattern=c_function confidence=0.65
fragment start=1506 end=1540 grammar=C pattern=c_function confidence=0.65
fragment start=1541 end=1558 grammar=C pattern=c_function confidence=0.65
fragment start=1559 end=1570 grammar=C pattern=c_function confidence=0.65
fragment start=1571 end=1610 grammar=C pattern=c_function confidence=0.65
fragment start=1611 end=1622 grammar=C pattern=c_function confidence=0.65
fragment start=1623 end=1662 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1663 end=1671 grammar=C pattern=c_function confidence=0.65
fragment start=1672 end=1707 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1708 end=1760 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1761 end=1954 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=1955 end=1993 grammar=C pattern=c_function confidence=0.65
fragment start=1994 end=2025 grammar=C pattern=c_function confidence=0.65
fragment start=2026 end=2080 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2081 end=2086 grammar=C pattern=c_function confidence=0.65
